Trace1,
Freq,,Amp,,
               99933,Hz,              -59.66, dBm,
              433099,Hz,              -78.21, dBm,
              766265,Hz,              -77.87, dBm,
             1099431,Hz,              -79.27, dBm,
             1432597,Hz,              -82.08, dBm,
             1765763,Hz,              -81.92, dBm,
             2098929,Hz,              -79.64, dBm,
             2432095,Hz,              -78.06, dBm,
             2765261,Hz,              -78.59, dBm,
             3098427,Hz,              -82.59, dBm,
             3431593,Hz,              -78.78, dBm,
             3764759,Hz,              -80.90, dBm,
             4097925,Hz,              -82.51, dBm,
             4431091,Hz,              -80.00, dBm,
             4764257,Hz,              -74.13, dBm,
             5097423,Hz,              -81.12, dBm,
             5430589,Hz,              -78.86, dBm,
             5763755,Hz,              -80.78, dBm,
             6096921,Hz,              -80.09, dBm,
             6430087,Hz,              -81.36, dBm,
             6763253,Hz,              -79.62, dBm,
             7096419,Hz,              -80.24, dBm,
             7429585,Hz,              -81.17, dBm,
             7762751,Hz,              -79.39, dBm,
             8095917,Hz,              -81.75, dBm,
             8429083,Hz,              -80.63, dBm,
             8762249,Hz,              -80.59, dBm,
             9095415,Hz,              -81.41, dBm,
             9428581,Hz,              -80.55, dBm,
             9761747,Hz,              -70.91, dBm,
            10094913,Hz,              -80.29, dBm,
            10428079,Hz,              -81.47, dBm,
            10761245,Hz,              -80.31, dBm,
            11094411,Hz,              -80.99, dBm,
            11427577,Hz,              -81.38, dBm,
            11760743,Hz,              -78.60, dBm,
            12093909,Hz,              -80.83, dBm,
            12427075,Hz,              -79.97, dBm,
            12760241,Hz,              -79.96, dBm,
            13093407,Hz,              -78.42, dBm,
            13426573,Hz,              -81.32, dBm,
            13759739,Hz,              -77.79, dBm,
            14092905,Hz,              -80.55, dBm,
            14426071,Hz,              -81.97, dBm,
            14759237,Hz,              -74.04, dBm,
            15092403,Hz,              -80.50, dBm,
            15425569,Hz,              -78.50, dBm,
            15758735,Hz,              -79.54, dBm,
            16091901,Hz,              -80.64, dBm,
            16425067,Hz,              -80.01, dBm,
            16758233,Hz,              -81.52, dBm,
            17091399,Hz,              -81.42, dBm,
            17424565,Hz,              -81.27, dBm,
            17757731,Hz,              -80.36, dBm,
            18090897,Hz,              -80.28, dBm,
            18424063,Hz,              -81.32, dBm,
            18757229,Hz,              -80.33, dBm,
            19090395,Hz,              -80.60, dBm,
            19423561,Hz,              -78.57, dBm,
            19756727,Hz,              -79.64, dBm,
            20089893,Hz,              -79.93, dBm,
            20423059,Hz,              -78.47, dBm,
            20756225,Hz,              -81.89, dBm,
            21089391,Hz,              -80.42, dBm,
            21422557,Hz,              -78.92, dBm,
            21755723,Hz,              -80.18, dBm,
            22088889,Hz,              -81.05, dBm,
            22422055,Hz,              -81.54, dBm,
            22755221,Hz,              -81.81, dBm,
            23088387,Hz,              -81.19, dBm,
            23421553,Hz,              -81.53, dBm,
            23754719,Hz,              -78.70, dBm,
            24087885,Hz,              -79.98, dBm,
            24421051,Hz,              -74.74, dBm,
            24754217,Hz,               -3.67, dBm,
            25087383,Hz,              -54.59, dBm,
