Trace1,
Freq,,Amp,,
                   0,Hz,               -6.23, dBm,
              333333,Hz,              -80.03, dBm,
              666666,Hz,              -78.56, dBm,
              999999,Hz,              -79.81, dBm,
             1333332,Hz,              -78.32, dBm,
             1666665,Hz,              -80.59, dBm,
             1999998,Hz,              -78.02, dBm,
             2333331,Hz,              -80.83, dBm,
             2666664,Hz,              -80.87, dBm,
             2999997,Hz,              -81.98, dBm,
             3333330,Hz,              -81.67, dBm,
             3666663,Hz,              -80.36, dBm,
             3999996,Hz,              -80.62, dBm,
             4333329,Hz,              -80.85, dBm,
             4666662,Hz,              -55.15, dBm,
             4999995,Hz,               -7.47, dBm,
             5333328,Hz,              -75.75, dBm,
             5666661,Hz,              -81.16, dBm,
             5999994,Hz,              -82.25, dBm,
             6333327,Hz,              -77.99, dBm,
             6666660,Hz,              -79.12, dBm,
             6999993,Hz,              -81.77, dBm,
             7333326,Hz,              -79.04, dBm,
             7666659,Hz,              -81.85, dBm,
             7999992,Hz,              -81.92, dBm,
             8333325,Hz,              -80.04, dBm,
             8666658,Hz,              -80.34, dBm,
             8999991,Hz,              -78.90, dBm,
             9333324,Hz,              -81.80, dBm,
             9666657,Hz,              -59.81, dBm,
             9999990,Hz,              -12.06, dBm,
            10333323,Hz,              -79.05, dBm,
            10666656,Hz,              -81.23, dBm,
            10999989,Hz,              -76.91, dBm,
            11333322,Hz,              -80.38, dBm,
            11666655,Hz,              -79.41, dBm,
            11999988,Hz,              -80.77, dBm,
            12333321,Hz,              -79.69, dBm,
            12666654,Hz,              -81.38, dBm,
            12999987,Hz,              -80.83, dBm,
            13333320,Hz,              -80.06, dBm,
            13666653,Hz,              -77.92, dBm,
            13999986,Hz,              -79.33, dBm,
            14333319,Hz,              -81.15, dBm,
            14666652,Hz,              -62.39, dBm,
            14999985,Hz,              -15.35, dBm,
            15333318,Hz,              -82.16, dBm,
            15666651,Hz,              -80.30, dBm,
            15999984,Hz,              -80.77, dBm,
            16333317,Hz,              -80.82, dBm,
            16666650,Hz,              -80.55, dBm,
            16999983,Hz,              -80.25, dBm,
            17333316,Hz,              -83.08, dBm,
            17666649,Hz,              -78.56, dBm,
            17999982,Hz,              -81.41, dBm,
            18333315,Hz,              -80.79, dBm,
            18666648,Hz,              -82.20, dBm,
            18999981,Hz,              -80.00, dBm,
            19333314,Hz,              -81.19, dBm,
            19666647,Hz,              -64.11, dBm,
            19999980,Hz,              -17.88, dBm,
            20333313,Hz,              -81.00, dBm,
            20666646,Hz,              -78.61, dBm,
            20999979,Hz,              -80.17, dBm,
            21333312,Hz,              -81.72, dBm,
            21666645,Hz,              -80.06, dBm,
            21999978,Hz,              -79.94, dBm,
            22333311,Hz,              -81.15, dBm,
            22666644,Hz,              -82.50, dBm,
            22999977,Hz,              -79.24, dBm,
            23333310,Hz,              -80.96, dBm,
            23666643,Hz,              -79.79, dBm,
            23999976,Hz,              -79.61, dBm,
            24333309,Hz,              -79.54, dBm,
            24666642,Hz,              -62.67, dBm,
            24999975,Hz,              -19.79, dBm,
            25333308,Hz,              -80.88, dBm,
            25666641,Hz,              -80.70, dBm,
            25999974,Hz,              -82.34, dBm,
            26333307,Hz,              -82.41, dBm,
            26666640,Hz,              -80.63, dBm,
            26999973,Hz,              -81.50, dBm,
            27333306,Hz,              -80.48, dBm,
            27666639,Hz,              -79.88, dBm,
            27999972,Hz,              -79.99, dBm,
            28333305,Hz,              -80.78, dBm,
            28666638,Hz,              -80.57, dBm,
            28999971,Hz,              -80.79, dBm,
            29333304,Hz,              -78.85, dBm,
            29666637,Hz,              -68.83, dBm,
            29999970,Hz,              -21.37, dBm,
            30333303,Hz,              -80.59, dBm,
            30666636,Hz,              -81.99, dBm,
            30999969,Hz,              -81.49, dBm,
            31333302,Hz,              -80.73, dBm,
            31666635,Hz,              -81.25, dBm,
            31999968,Hz,              -80.35, dBm,
            32333301,Hz,              -80.22, dBm,
            32666634,Hz,              -81.03, dBm,
            32999967,Hz,              -79.16, dBm,
            33333300,Hz,              -74.14, dBm,
            33666633,Hz,              -79.20, dBm,
            33999966,Hz,              -79.69, dBm,
            34333299,Hz,              -80.49, dBm,
            34666632,Hz,              -70.06, dBm,
            34999965,Hz,              -22.76, dBm,
            35333298,Hz,              -81.49, dBm,
            35666631,Hz,              -81.87, dBm,
            35999964,Hz,              -81.50, dBm,
            36333297,Hz,              -80.51, dBm,
            36666630,Hz,              -79.11, dBm,
            36999963,Hz,              -79.59, dBm,
            37333296,Hz,              -79.23, dBm,
            37666629,Hz,              -79.55, dBm,
            37999962,Hz,              -80.91, dBm,
            38333295,Hz,              -81.52, dBm,
            38666628,Hz,              -79.99, dBm,
            38999961,Hz,              -81.37, dBm,
            39333294,Hz,              -80.25, dBm,
            39666627,Hz,              -71.36, dBm,
            39999960,Hz,              -24.09, dBm,
            40333293,Hz,              -79.93, dBm,
            40666626,Hz,              -80.31, dBm,
            40999959,Hz,              -81.98, dBm,
            41333292,Hz,              -79.13, dBm,
            41666625,Hz,              -80.52, dBm,
            41999958,Hz,              -81.77, dBm,
            42333291,Hz,              -82.31, dBm,
            42666624,Hz,              -81.33, dBm,
            42999957,Hz,              -78.31, dBm,
            43333290,Hz,              -81.84, dBm,
