Frequency_MHz,Amplitude_dBm
0.000000000000000000e+00,-6.269999999999999574e+00
1.666665999999999981e+00,-8.029000000000000625e+01
3.333331999999999962e+00,-7.893000000000000682e+01
4.999997999999999720e+00,-7.781999999999999318e+01
6.666663999999999923e+00,-7.910999999999999943e+01
8.333330000000000126e+00,-7.932999999999999829e+01
9.999995999999999441e+00,-7.198999999999999488e+01
1.166666200000000053e+01,-7.928000000000000114e+01
1.333332799999999985e+01,-7.982999999999999829e+01
1.499999399999999916e+01,-7.237000000000000455e+01
1.666666000000000025e+01,-7.851999999999999602e+01
1.833332599999999957e+01,-8.020000000000000284e+01
1.999999199999999888e+01,-7.951999999999999602e+01
2.166665800000000175e+01,-7.965000000000000568e+01
2.333332400000000106e+01,-5.490999999999999659e+01
2.499999000000000038e+01,-4.620000000000000107e+00
2.666665599999999969e+01,-7.993999999999999773e+01
2.833332199999999901e+01,-7.965000000000000568e+01
2.999998799999999832e+01,-7.937999999999999545e+01
3.166665400000000119e+01,-7.921999999999999886e+01
3.333332000000000050e+01,-7.181000000000000227e+01
3.499998599999999982e+01,-7.240999999999999659e+01
3.666665199999999913e+01,-7.839000000000000057e+01
3.833331799999999845e+01,-7.864000000000000057e+01
3.999998399999999776e+01,-7.843000000000000682e+01
4.166664999999999708e+01,-7.925000000000000000e+01
4.333331600000000350e+01,-7.876999999999999602e+01
4.499998200000000281e+01,-7.937999999999999545e+01
4.666664800000000213e+01,-7.881000000000000227e+01
4.833331400000000144e+01,-7.829999999999999716e+01
4.999998000000000076e+01,-5.759000000000000341e+01
5.166664600000000007e+01,-7.990999999999999659e+01
5.333331199999999939e+01,-7.820000000000000284e+01
5.499997799999999870e+01,-7.946999999999999886e+01
5.666664399999999802e+01,-7.954999999999999716e+01
5.833330999999999733e+01,-7.926999999999999602e+01
5.999997599999999665e+01,-7.843000000000000682e+01
6.166664200000000307e+01,-7.915000000000000568e+01
6.333330800000000238e+01,-7.970000000000000284e+01
6.499997399999999459e+01,-7.879999999999999716e+01
6.666664000000000101e+01,-7.931999999999999318e+01
6.833330599999999322e+01,-7.921999999999999886e+01
6.999997199999999964e+01,-7.978000000000000114e+01
7.166663800000000606e+01,-7.901999999999999602e+01
7.333330399999999827e+01,-6.343999999999999773e+01
7.499997000000000469e+01,-1.501999999999999957e+01
7.666663599999999690e+01,-7.859999999999999432e+01
7.833330200000000332e+01,-7.943000000000000682e+01
7.999996799999999553e+01,-8.003000000000000114e+01
8.166663400000000195e+01,-7.765999999999999659e+01
8.333329999999999416e+01,-7.873999999999999488e+01
8.499996600000000058e+01,-7.990999999999999659e+01
8.666663200000000700e+01,-8.040999999999999659e+01
8.833329799999999921e+01,-7.904999999999999716e+01
8.999996400000000563e+01,-8.064000000000000057e+01
9.166662999999999784e+01,-7.850000000000000000e+01
9.333329600000000426e+01,-7.904000000000000625e+01
9.499996199999999646e+01,-7.934999999999999432e+01
9.666662800000000288e+01,-7.818000000000000682e+01
9.833329399999999509e+01,-7.976999999999999602e+01
9.999996000000000151e+01,-5.531000000000000227e+01
1.016666259999999937e+02,-7.875000000000000000e+01
1.033332920000000001e+02,-7.892000000000000171e+01
1.049999580000000066e+02,-7.920000000000000284e+01
1.066666239999999988e+02,-7.931999999999999318e+01
1.083332900000000052e+02,-7.876000000000000512e+01
1.099999559999999974e+02,-8.040000000000000568e+01
1.116666220000000038e+02,-8.018000000000000682e+01
1.133332879999999960e+02,-7.873999999999999488e+01
1.149999540000000025e+02,-7.698999999999999488e+01
1.166666199999999947e+02,-7.826999999999999602e+01
1.183332860000000011e+02,-7.953000000000000114e+01
1.199999519999999933e+02,-7.840000000000000568e+01
1.216666179999999997e+02,-7.868999999999999773e+01
1.233332840000000061e+02,-6.662999999999999545e+01
1.249999499999999983e+02,-2.051999999999999957e+01
1.266666160000000048e+02,-7.951999999999999602e+01
1.283332819999999970e+02,-7.804000000000000625e+01
1.299999479999999892e+02,-7.928000000000000114e+01
1.316666140000000098e+02,-7.857999999999999829e+01
1.333332800000000020e+02,-7.823000000000000398e+01
1.349999459999999942e+02,-7.970000000000000284e+01
1.366666119999999864e+02,-7.906999999999999318e+01
1.383332780000000071e+02,-7.829999999999999716e+01
1.399999439999999993e+02,-7.931999999999999318e+01
1.416666099999999915e+02,-7.887999999999999545e+01
1.433332760000000121e+02,-7.887999999999999545e+01
1.449999420000000043e+02,-7.857999999999999829e+01
1.466666079999999965e+02,-7.929000000000000625e+01
1.483332739999999887e+02,-8.040999999999999659e+01
1.499999400000000094e+02,-5.102000000000000313e+01
1.516666060000000016e+02,-7.801000000000000512e+01
1.533332719999999938e+02,-7.932999999999999829e+01
1.549999379999999860e+02,-8.006999999999999318e+01
1.566666040000000066e+02,-7.951000000000000512e+01
1.583332699999999988e+02,-7.843999999999999773e+01
1.599999359999999911e+02,-7.951999999999999602e+01
1.616666020000000117e+02,-7.856999999999999318e+01
1.633332680000000039e+02,-7.885999999999999943e+01
1.649999339999999961e+02,-7.968999999999999773e+01
1.666665999999999883e+02,-6.968000000000000682e+01
1.683332660000000089e+02,-8.012000000000000455e+01
1.699999320000000012e+02,-7.975000000000000000e+01
1.716665979999999934e+02,-8.006000000000000227e+01
1.733332640000000140e+02,-7.034000000000000341e+01
1.749999300000000062e+02,-2.376000000000000156e+01
1.766665959999999984e+02,-7.840000000000000568e+01
1.783332619999999906e+02,-8.006999999999999318e+01
1.799999280000000113e+02,-7.910999999999999943e+01
1.816665940000000035e+02,-7.945999999999999375e+01
1.833332599999999957e+02,-7.915000000000000568e+01
1.849999259999999879e+02,-7.953000000000000114e+01
1.866665920000000085e+02,-7.879999999999999716e+01
1.883332580000000007e+02,-7.829999999999999716e+01
1.899999239999999929e+02,-7.854000000000000625e+01
1.916665900000000136e+02,-7.859000000000000341e+01
1.933332560000000058e+02,-7.787999999999999545e+01
1.949999219999999980e+02,-7.931000000000000227e+01
1.966665879999999902e+02,-7.915000000000000568e+01
1.983332540000000108e+02,-7.992000000000000171e+01
1.999999200000000030e+02,-5.014999999999999858e+01
2.016665859999999952e+02,-8.071999999999999886e+01
2.033332519999999874e+02,-7.862000000000000455e+01
2.049999180000000081e+02,-7.723000000000000398e+01
2.066665840000000003e+02,-8.028000000000000114e+01
2.083332499999999925e+02,-8.007999999999999829e+01
2.099999160000000131e+02,-7.826999999999999602e+01
2.116665820000000053e+02,-7.918000000000000682e+01
2.133332479999999975e+02,-7.839000000000000057e+01
2.149999139999999898e+02,-7.785999999999999943e+01
2.166665800000000104e+02,-7.851999999999999602e+01
2.183332460000000026e+02,-7.734999999999999432e+01
2.199999119999999948e+02,-7.865000000000000568e+01
2.216665779999999870e+02,-7.895999999999999375e+01
2.233332440000000076e+02,-7.523000000000000398e+01
2.249999099999999999e+02,-2.923999999999999844e+01
2.266665759999999921e+02,-7.693000000000000682e+01
2.283332420000000127e+02,-7.965000000000000568e+01
2.299999080000000049e+02,-7.906999999999999318e+01
2.316665739999999971e+02,-7.993999999999999773e+01
2.333332399999999893e+02,-6.909999999999999432e+01
2.349999060000000100e+02,-8.006999999999999318e+01
2.366665720000000022e+02,-7.885999999999999943e+01
2.383332379999999944e+02,-7.725000000000000000e+01
2.399999039999999866e+02,-7.904000000000000625e+01
2.416665700000000072e+02,-7.862000000000000455e+01
2.433332359999999994e+02,-7.962999999999999545e+01
2.449999019999999916e+02,-7.700000000000000000e+01
2.466665680000000123e+02,-7.873000000000000398e+01
2.483332340000000045e+02,-8.095999999999999375e+01
2.499998999999999967e+02,-5.368999999999999773e+01
2.516665659999999889e+02,-8.089000000000000057e+01
2.533332320000000095e+02,-7.843999999999999773e+01
2.549998980000000017e+02,-7.876999999999999602e+01
2.566665639999999939e+02,-7.831000000000000227e+01
2.583332300000000146e+02,-7.856999999999999318e+01
2.599998959999999784e+02,-7.975000000000000000e+01
2.616665619999999990e+02,-7.970000000000000284e+01
2.633332280000000196e+02,-8.004000000000000625e+01
2.649998939999999834e+02,-7.912000000000000455e+01
2.666665600000000040e+02,-7.846999999999999886e+01
2.683332260000000247e+02,-7.879000000000000625e+01
2.699998919999999885e+02,-8.059000000000000341e+01
2.716665580000000091e+02,-7.843999999999999773e+01
2.733332239999999729e+02,-7.967000000000000171e+01
2.749998899999999935e+02,-3.429999999999999716e+01
2.766665560000000141e+02,-7.812000000000000455e+01
2.783332219999999779e+02,-7.981999999999999318e+01
2.799998879999999986e+02,-7.784000000000000341e+01
2.816665540000000192e+02,-7.965000000000000568e+01
2.833332199999999830e+02,-7.870999999999999375e+01
2.849998860000000036e+02,-7.923999999999999488e+01
2.866665520000000242e+02,-7.962000000000000455e+01
2.883332179999999880e+02,-7.801000000000000512e+01
2.899998840000000087e+02,-7.932999999999999829e+01
2.916665499999999724e+02,-7.971999999999999886e+01
2.933332159999999931e+02,-8.098000000000000398e+01
2.949998820000000137e+02,-7.798000000000000398e+01
2.966665479999999775e+02,-7.907999999999999829e+01
2.983332139999999981e+02,-7.948000000000000398e+01
2.999998800000000188e+02,-4.953999999999999915e+01
3.016665459999999825e+02,-8.043999999999999773e+01
3.033332120000000032e+02,-7.890000000000000568e+01
3.049998780000000238e+02,-8.001000000000000512e+01
3.066665439999999876e+02,-8.040000000000000568e+01
3.083332100000000082e+02,-7.962999999999999545e+01
3.099998759999999720e+02,-8.046999999999999886e+01
3.116665419999999926e+02,-7.762000000000000455e+01
3.133332080000000133e+02,-7.903000000000000114e+01
3.149998739999999771e+02,-7.954999999999999716e+01
3.166665399999999977e+02,-7.935999999999999943e+01
3.183332060000000183e+02,-7.976999999999999602e+01
3.199998719999999821e+02,-7.875000000000000000e+01
3.216665380000000027e+02,-8.060999999999999943e+01
3.233332040000000234e+02,-7.907999999999999829e+01
3.249998699999999872e+02,-3.910999999999999943e+01
3.266665360000000078e+02,-7.795999999999999375e+01
3.283332020000000284e+02,-7.870000000000000284e+01
3.299998679999999922e+02,-7.809000000000000341e+01
3.316665340000000128e+02,-7.873000000000000398e+01
3.333331999999999766e+02,-7.831999999999999318e+01
3.349998659999999973e+02,-7.890000000000000568e+01
3.366665320000000179e+02,-7.900000000000000000e+01
3.383331979999999817e+02,-7.804000000000000625e+01
3.399998640000000023e+02,-8.006000000000000227e+01
3.416665300000000229e+02,-8.042000000000000171e+01
3.433331959999999867e+02,-7.840000000000000568e+01
3.449998620000000074e+02,-7.895999999999999375e+01
3.466665280000000280e+02,-7.820999999999999375e+01
3.483331939999999918e+02,-8.014000000000000057e+01
3.499998600000000124e+02,-6.434000000000000341e+01
3.516665259999999762e+02,-7.754000000000000625e+01
3.533331919999999968e+02,-7.951999999999999602e+01
3.549998580000000175e+02,-7.809000000000000341e+01
3.566665239999999812e+02,-7.921999999999999886e+01
3.583331900000000019e+02,-7.923000000000000398e+01
3.599998560000000225e+02,-7.800000000000000000e+01
3.616665219999999863e+02,-7.995999999999999375e+01
3.633331880000000069e+02,-7.854000000000000625e+01
3.649998540000000276e+02,-7.967000000000000171e+01
3.666665199999999913e+02,-7.698000000000000398e+01
3.683331860000000120e+02,-7.912000000000000455e+01
3.699998519999999758e+02,-7.876999999999999602e+01
3.716665179999999964e+02,-7.870999999999999375e+01
3.733331840000000170e+02,-7.826000000000000512e+01
3.749998499999999808e+02,-4.867999999999999972e+01
3.766665160000000014e+02,-7.920999999999999375e+01
3.783331820000000221e+02,-7.896999999999999886e+01
3.799998479999999859e+02,-8.064000000000000057e+01
3.816665140000000065e+02,-7.840000000000000568e+01
3.833331800000000271e+02,-7.879999999999999716e+01
3.849998459999999909e+02,-7.739000000000000057e+01
3.866665120000000115e+02,-8.031000000000000227e+01
3.883331779999999753e+02,-7.870000000000000284e+01
3.899998439999999960e+02,-7.890000000000000568e+01
3.916665100000000166e+02,-8.015999999999999659e+01
3.933331759999999804e+02,-7.821999999999999886e+01
3.949998420000000010e+02,-7.743000000000000682e+01
3.966665080000000216e+02,-7.920000000000000284e+01
3.983331739999999854e+02,-7.984000000000000341e+01
3.999998400000000061e+02,-6.068999999999999773e+01
4.016665060000000267e+02,-7.973999999999999488e+01
4.033331719999999905e+02,-7.934999999999999432e+01
4.049998380000000111e+02,-7.914000000000000057e+01
4.066665039999999749e+02,-7.896999999999999886e+01
4.083331699999999955e+02,-7.828000000000000114e+01
4.099998360000000162e+02,-8.034000000000000341e+01
4.116665019999999799e+02,-7.935999999999999943e+01
4.133331680000000006e+02,-8.096999999999999886e+01
4.149998340000000212e+02,-7.815000000000000568e+01
4.166664999999999850e+02,-7.970000000000000284e+01
4.183331660000000056e+02,-7.839000000000000057e+01
4.199998320000000263e+02,-7.951999999999999602e+01
